regio1,serviceCharge,heatingType,telekomTvOffer,telekomHybridUploadSpeed,newlyConst,balcony,picturecount,pricetrend,telekomUploadSpeed,totalRent,yearConstructed,scoutId,noParkSpaces,firingTypes,hasKitchen,geo_bln,cellar,yearConstructedRange,baseRent,houseNumber,livingSpace,geo_krs,condition,interiorQual,petsAllowed,street,streetPlain,lift,baseRentRange,typeOfFlat,geo_plz,noRooms,thermalChar,floor,numberOfFloors,noRoomsRange,garden,livingSpaceRange,regio2,regio3,description,facilities,heatingCosts,energyEfficiencyClass,lastRefurbish,electricityBasePrice,electricityKwhPrice,date
Nordrhein_Westfalen,200.0,,ONE_YEAR_FREE,,False,True,16,2.88,40.0,1500.0,1890.0,88072287,,oil,False,Nordrhein_Westfalen,False,1.0,1300.0,40-41,85.0,Münster,mint_condition,luxury,no,Salzstra&szlig;e,Salzstraße,True,7,roof_storey,48143,2.0,,3.0,4.0,2,False,4,Münster,Domviertel,"Das denkmalgeschützte Objekt wurde in dem Jahr 2015/2016 vollumfänglich energetisch saniert. Hierbei wurde darauf geachtet, dass die historische Substanz des Gebäudes erhalten bleibt und mit einer modernen Ausstattung kombiniert wird, sodass Wohlfühlen & Komfort im Einklang steht. So konnte der Altbaucharakter bestehen bleiben und mit einem luxuriösen Inventar aufgewertet werden. 

In dem Objekt befinden sich neben einer weiteren Wohnung noch mehrere Gewerbeflächen. Die Mietfläche kann durch einen Aufzug erreicht werden.","Bei dem Umbau der Wohnung wurden hochwertigste Materialien verwendet, was vor allem in Details wie den energetischen Holzfenstern, den Armaturen und Porzellan von Duravit oder dem Echtholzparkett ins Auge fällt.
Die Wohnung besticht durch einen lichtdurchfluteten offenen Wohnbereich, von dem man auch auf die Loggia mit wunderschönem Ausblick gelangt.
Angrenzend an das Schlafzimmer findet man ein Ankleidezimmer sowie das Badezimmer.",,,2016.0,,,Oct19
Niedersachsen,200.0,district_heating,ONE_YEAR_FREE,,False,True,11,4.21,40.0,990.0,1953.0,110599967,1.0,district_heating,True,Niedersachsen,True,2.0,790.0,,75.5,Hannover,well_kept,sophisticated,no,no_information,,True,5,apartment,30171,2.0,82.0,1.0,5.0,2,False,3,Hannover,Südstadt,Zur Vermietung ist eine Stadtwohnung mit Terrasse im 1. Obergeschoss eines Wohn- und Geschäftshauses angeboten.,"Die Wohnung hat eine Wohnfläche von 75,5 m² (inkl. Terrasse) und ist in ein Schlafzimmer, ein geräumiges Wohn- bzw. Esszimmer, einen Flur, eine Küche und ein Wannenbad aufgeteilt. Zudem steht ein Abstellraum in der Wohnung und ein Kellerraum (Kellerabteil) zur Verfügung.

Die Raumgrößen/Aufteilung der Wohnung:
- 27,5 m² Wohnen
- 12,3 m² Schlafen
- 10,9 m² Kochen
- 4,8 m² Bad
- 5,1 m² Flur
- 2,1 m² Abstell
- 12,8 m² Balkon (25,6 m² x 0,5 Anteil)
Summe = 75,5 m²

Die Wohnung hat im wesentlichen folgende Ausstattungsmerkmale:
- Laminat in den Zimmern und im Flur
- gefliestes Bad mit Einbauwanne, Waschmaschinenanschluss vorhanden
- weiße Kunsstofftüren, Glastür
- Gegensprechanlage
- Kunststofffenster mit Isolierverglasung
- Einbauküche mit E-Herd, Ceran-Kochfeld, Geschirrspüler, Einbaukühlschrank

Die nach Süden ausgerichtete Terrasse ist befließt und mit einer Edelstahl-/ Glas-Brüstung versehen.

Die Warmwasser-Erzeugung efolgt über E-Durchlauferhitzer. 

Das Haus verfügt über einen Personenaufzug. Allerdings KEINE Barrierefreiheit.

Bei Bedarf besteht die Möglichkeit einen Pkw-Stellplatz auf dem Grundstück anzumieten.",,C,,,,May19
Bayern,100.0,district_heating,ONE_YEAR_FREE,,False,True,14,6.74,10.0,1760.0,1959.0,107603924,,district_heating,True,Bayern,True,2.0,1600.0,21,65.1,München,well_kept,,,Theresienstra&szlig;e,Theresienstraße,True,8,apartment,80333,2.0,83.6,1.0,,2,False,3,München,Maxvorstadt,"Allgemein:
- Saniertes Treppenhaus

Extras:
- Treppenhausreinigung
- Hausmeisterservice
- Winterdienst
- Gegensprechanlage

","Allgemein:
- Waschmaschine
- Waschtrockner

Räume:
- verputzte Wände
- Parkettboden

Küche:
- Geschirrspüler
- Elektroherd, Cerankochfeld
- Kühl-/Gefrierkombination

Badezimmer:
- Badewanne

",60.0,C,,,,May19
Nordrhein_Westfalen,335.0,central_heating,ONE_YEAR_FREE,,False,False,12,5.63,40.0,999.0,1956.0,110385301,,gas,False,Nordrhein_Westfalen,False,2.0,664.0,,100.0,Bochum,well_kept,,negotiable,no_information,,False,5,apartment,44787,3.0,,,,3,False,4,Bochum,Gleisdreieck,"Die hier angebotene 3 - Zimmerwohnung steht nun mit ca. 100 m² Wohnfläche zur Vermietung frei und teilt sich wie folgt auf:

- heller Wohn - und Küchenbereich (offene Küche)
- Schlafzimmer
- geschmackvolles, hellblau gefliestes (kleine Mosaiksteinchen) Tageslichtbad mit Badewanne
- Gäste-WC mit Dusche
- Arbeitszimmer/Kinderzimmer

Zugehörig zur Wohnung ist ein eigener Kellerraum sowie eine Gemeinschaftswaschküche.

Diese Wohnung eignet sich ideal für einen 1 - 3 Personenhaushalt.


Um eine schnellstmögliche Bearbeitung der Anfragen sicher zu stellen, bitten wir Sie uns ZUNÄCHST über das KONTAKTFORMULAR zu kontaktieren.
 
Wir werden uns zeitnah bei Ihnen melden.
 
Vielen Dank für Ihr Verständnis!
 
Ihr ReuterImmobilien Team","Dies könnte Sie interessieren:

+       Gas - Zentralheizung
+       in allen Wohnräumen ist Laminat verlegt
+       Küchenboden dunkel gefliest
+       hellblau gefliestes (kleine Mosaiksteinchen) Badezimmer mit Badewanne und Fenster
+       Gäste WC mit Dusche
+       weiße Kunststofffenster
+       Waschmaschinenstellplatz + Kellerraum
+       offene Küche
+       sehr zentrale Lage

Die Wohnung ist ab dem 1.6.2019 bezugsfrei !!!!

Der Energieausweis ist in Bearbeitung und wird Ihnen bei der Besichtigung vorgelegt.",,,,,,May19
Sachsen_Anhalt,,,NONE,,False,False,6,1.38,2.4,,1980.0,111908329,2.0,oil,False,Sachsen_Anhalt,True,3.0,240.0,27A,56.0,Harz_Kreis,fully_renovated,normal,,Ernst-Th&auml;lmann-Str.,Ernst-Thälmann-Str.,False,1,,39397,3.0,157.0,,,3,False,2,Harz_Kreis,Nienhagen,"3  Zimmer  + Küche  + Bad +  Flur 
Wfl. ca. 56 m²  
zzgl. Kellerraum    

PKW-Einstellplatz auf dem rückwärtigen Grundstück

Weitere Einzelheiten 
und Auskünfte:
WEGNER  IMMOBILIEN
Telefon (03 94 24)  9 40 34","- renovierter Zustand
- Laminat und PVC-Böden
- Bad vor ca. zwei Jahren neu gefließt und eingereichtet
- ""Hotel""-Wohnungseingangstür",,,,,,Oct19
Bayern,0.0,central_heating,ONE_YEAR_FREE,,False,False,12,7.14,40.0,660.0,1996.0,103157423,1.0,gas,True,Bayern,False,5.0,660.0,,22.0,Fürth,,,no,no_information,,True,5,,90762,1.0,141.0,1.0,,1,False,1,Fürth,Altstadt_/_Innenstadt,"+++++++Dieses Objekt kann nur möbliert angemietet werden+++++++Perfekte U1 Anbindung: Exklusiv und modern möbliertes 1-Zimmer-Apartment mit WLAN, Telefonflatrate, monatlichem Reinigungsservice, Fitnessraum und optionalem Tiefgaragenstellplatz in einem gepflegten Apartmenthaus direkt an der Stadthalle Fürth.Die Möblierung des Zimmers besteht aus einem französischen Bett (1,40x2,00 m), großem Flatscreen TV, 2-türigen Kleiderschrank in grau sowie einem Tisch mit 2 Stühlen.Die Pantryküche ist mit allen Utensilien des täglichen Bedarfs ausgestattet wie Cerankochfeld mit 2 Platten, Kühlschrank, Mikrowelle, Kühlschrank, Kochutensilien, Wasserkocher, Geschirr usw.Das stylishe Badezimmer verfügt über eine Glasdusche, Waschbecken mit Spiegel, Unterschrank, Handtuchheizung sowie eine Toilette. Ein SB Waschraum mit Münzwaschmaschine und Trockner befindet sich im Untergeschoss.Im Untergeschoss steht ein Fitnessraum mit Cardiogeräten und einer Kraftstation zur kostenfreien Benutzung zur Verfügung - keine Betreuung!!!! Rauchen ist im Apartmenthaus nicht gestattet !!! Ein Tiefgaragenstellplatz kann gegen Aufpreis in Höhe von 80,00 € monatlich angemietet werden.U-Bahn 1 Stadthalle ist vor dem Haus. Die beliebte Kneipenmeile in der Gustavstraße ist in wenigen Gehminuten erreichbar.Ein monatlicher Reinigungsservice ist im Mietpreis inkludiert. Jede weitere Reinigung wird für 25,00 € durchgeführt.Bei Auszug fällt eine Endreinigungsgebühr in Höhe von 100,00 € nach Aufwand an.Die angegebene Miete ist inklusive allem, es kommen keine weiteren Kosten hinzu. GEZ ist inkludiert.Hinweis: Rauchen ist im Wohnraum nicht erlaubt.Kostenhinweis: zzgl. 80,-€ optionalem Stellplatz und Endreinigungsgebühr.Die Angaben zum Mietobjekt beruhen auf den Angaben des Vermieters.Weitere möblierte Angebote finden Sie unter www.hc24.de","Bettwäsche, Handtücher, Internet, TV-Gerät, Mikrowelle, Kabelanschluss, Dusche, Einbauküche, Fliesenboden, französisches Bett, Geschirr, Waschmaschine, Wäschetrockner, Zentralheizung, Laminatboden, Reinigungsservice, Telefonanschluss, Garage, Wohnküche, separates WC",,D,,,,May19
Berlin,90.0,,ONE_YEAR_FREE,,False,False,7,10.75,10.0,890.0,1910.0,107335223,,district_heating,True,Berlin,True,1.0,800.0,75,49.0,Berlin,first_time_use_after_refurbishment,sophisticated,no,Togostra&szlig;e,Togostraße,False,5,apartment,13351,2.0,,0.0,,2,False,2,Berlin,Wedding_Wedding,"Die angebotene 2 Zimmer Wohnung ist ca. 50 qm groß und befindet sich im Erdgeschoss des Vorderhauses in der Togostraße 75. Zwei Zimmer Wohnung mit Küche, Diele & Badezimmer. Die Wohnung wurde vollständig saniert und möbliert.

Es Handelt sich um eine möblierte Wohnung inkl. Einbauküche.

Kaltmiete                      600,00 €
Zuschlag für Möblierung 200,00 €
Nebenkosten                  90,00 €
Gesamt Miete                890,00 €

Die Heizkosten sind nicht in den Nebenkosten enthalten. Sie müssen ca. mit 50,00 € zzgl. rechnen.",,,,2018.0,90.76,0.1985,Sep18
Niedersachsen,90.0,self_contained_central_heating,ONE_YEAR_FREE,,False,True,9,2.48,40.0,475.0,1961.0,115188093,,gas,False,Niedersachsen,True,2.0,385.0,5,64.0,Hameln_Pyrmont_Kreis,first_time_use_after_refurbishment,normal,negotiable,Friedrich-List-Stra&szlig;e,Friedrich-List-Straße,False,2,raised_ground_floor,31789,3.0,270.4,0.0,2.0,3,False,3,Hameln_Pyrmont_Kreis,Hameln,"Die hübsche 3-Zimmer-Wohnung mit Balkon befindet sich im Erdgeschoss des gepflegten Mehrfamilienhauses im Stadtteil Hameln Rohrsen/Basberg.

Die Liegenschaft liegt eingebettet in gepflegte Grünanlagen in ruhiger Wohnlage.","Perfekt für Pärchen oder junge Familien!

Die Sanierungsarbeiten sind gerade abgeschlossen. Alle Räume sind frisch tapeziert und in Weiß angelegt. Die Böden sind bis auf Badezimmer und Küche alle mit Designboden in warmer Holzoptik verlegt. 

Die helle Küche ist mit einem neuen Fliesenspiegel ausgestattet worden. Hier befindet sich außerdem eine praktische Vorratskammer. 

Das Tageslichtbadezimmer mit Wanne ist komplett neu gemacht mit großformatigen weißen Wandfliesen und mit weißen Sanitärobjekten sowie Handtuchheizkörper ausgestattet. Der Boden ist passend dazu mit schiefergrauen Bodenfliesen verlegt. 

Den großen Sonnenbalkon erreichen Sie über das Wohnzimmer mit guter Sicht auf die gepflegten Grünflächen.

Alle Räume sind vom Flur aus begehbar.",,,2019.0,,,Feb20
Sachsen,40.0,central_heating,ONE_YEAR_FREE,,False,True,9,0.74,40.0,260.0,1995.0,112393701,,,False,Sachsen,True,5.0,220.0,6,40.0,Meißen_Kreis,,normal,,Stra&szlig;e der Freundschaft,Straße_der_Freundschaft,False,1,apartment,1589,2.0,95.0,1.0,,2,False,1,Meißen_Kreis,Riesa,"Bei der von uns angebotenen Immobile handelt es sich um eine Zweizimmerwohnung im 1. Obergeschoss in einem dreigeschossigen voll unterkellerten Mehrfamilienhaus. Das Haus wurde in den 90er Jahren saniert und ist in einem gepflegten Zustand. Die Wohnung mit einer Wohnfläche von ca. 43m², ist Ausgestattet mit einer Dusche. Die Küche ist mit PVC-Belag ausgestattet und bietet ausreichend Platz zum Kochen. Sie verfügt über einen Balkon der zum Entspannen einlädt. Zur Wohnung gehört ein Keller.",,,,,,,Oct19
Bayern,125.0,central_heating,ONE_YEAR_FREE,,False,False,14,6.15,10.0,1890.0,1850.0,106938591,,gas,True,Bayern,True,1.0,1595.0,,125.0,München_Kreis,,sophisticated,negotiable,no_information,,False,8,ground_floor,82008,3.0,94.3,0.0,2.0,3,True,6,München_Kreis,Unterhaching,"Die schöne Wohnung befindet sich in einem stilvollen Mehrfamilienhaus mit 4 Parteien.

Das Objekt, ursprünglich ein Bauernhaus, wurde 2015 renoviert und in 4 Wohnungen aufgeteilt.","Die großzügig geschnittene 3-Zimmer-Wohnung liegt im Erdgeschoss des Mehrfamilienhauses. 

Über einen geräumigen Flurbereich, in dem Fliesen (in Solnhofener Optik) verlegt sind, gelangt man linker Hand in den großzügigen, offen gestalteten Koch-/Essbereich mit einer modernen Einbauküche inklusive Kochinsel. Neben der Küche befindet sich die Abstellkammer. 

An den Essbereich angrenzend liegt das große Wohnzimmer.

Zwischen Wohn- und Schlafbereich liegt das hell geflieste Tageslichtbad mit Badewanne, bodengleicher Dusche, Doppelwaschtisch, WC sowie Waschmaschinenanschluss.

Rechts gesehen vom Hauptflur gelangt man zum Gäste-WC sowie zu Schlaf- und Kinderzimmer.

Alle Zimmer sind mit Parkett ausgestattet (Landhausdielen).",170.0,C,,71.43,0.2074,Sep18
